ticker,cik,company_name,sic,sic_description,latest_fiscal_year,period_end
,1697834,"STEM HOLDINGS, INC.",,,2023,2023-09-30
,1698702,ARION GROUP CORP.,,,2023,2023-01-31
,1700849,Vado Corp.,,,2023,2023-12-31
,1704795,"Bantec, Inc.",,,2023,2023-09-30
,1709505,BEST Inc.,,,2023,2023-12-31
,1714367,SIGMARENOPRO INC.,,,2023,2023-06-30
,1715268,"Golub Capital BDC 3, Inc.",,,2023,2023-09-30
,1715611,BODY AND MIND INC.,,,2023,2023-07-31
,1715768,"TRANSPHORM, INC.",,,2023,2023-03-31
EMED,1715819,"ELECTROMEDICAL TECHNOLOGIES, INC.",3841,Surgical & Medical Instruments & Apparatus,2023,2023-12-31
,1716583,Hyzon Motors Inc.,,,2023,2023-12-31
,1720990,Fisker Inc./DE,,,2023,2023-12-31
,1722438,"Doma Holdings, Inc.",,,2023,2023-12-31
,1722926,ASLAN Pharmaceuticals Limited,,,2023,2023-12-31
,1723580,"BurgerFi International, Inc.",,,2023,2024-01-01
,1725134,"Digital Media Solutions, Inc.",,,2023,2023-12-31
,1725293,Grindrod Shipping Holdings Ltd.,,,2023,2023-12-31
,1725872,"BM TECHNOLOGIES, INC.",,,2023,2023-12-31
,1732845,WestRock Company,,,2023,2023-09-30
,1733257,"FINCH THERAPEUTICS GROUP, INC.",,,2023,2023-12-31
,1733413,"TFF PHARMACEUTICALS, INC.",,,2023,2023-12-31
,1735092,"GOFBA, INC.",,,2023,2023-12-31
,1735948,GREENBROOK TMS INC.,,,2023,2023-12-31
,1739614,"INHIBRX, INC.",,,2023,2023-12-31
,1741257,"BANGFU TECHNOLOGY GROUP CO., LTD.",,,2023,2023-06-30
,1747009,Equitrans Midstream Corp,,,2023,2023-12-31
,1749704,"AGILITI, INC. \DE",,,2023,2023-12-31
,1749849,Organic Agricultural Co Ltd,,,2023,2023-03-31
,1750153,CANOO INC,,,2023,2023-12-31
,1752036,CALIFORNIA BANCORP,,,2023,2023-12-31
,1752474,KLDiscovery Inc.,,,2023,2023-12-31
,1753706,"Whole Earth Brands, Inc.",,,2023,2023-12-31
,1754820,"Desktop Metal, Inc.",,,2023,2023-12-31
,1757097,Centogene N.V.,,,2023,2023-12-31
,1762359,"ACREAGE HOLDINGS, INC.",,,2023,2023-12-31
,1765159,NUVEI CORPORATION,,,2023,2023-12-31
,1768946,Biophytis SA,,,2023,2023-12-31
,1769804,"Augmedix, Inc.",,,2023,2023-12-31
,1770141,"UpHealth, Inc.",,,2023,2023-12-31
,1771917,"Karuna Therapeutics, Inc.",,,2023,2023-12-31
,1771951,DYNAMIC SHARES TRUST,,,2023,2023-12-31
,1774983,BROOGE ENERGY LIMITED,,,2023,2023-12-31
,1775085,China Liberal Education Holdings Limited,,,2023,2023-12-31
,1775625,"SmileDirectClub, Inc.",,,2023,2023-03-31
,1776967,Natura &Co Holding S.A.,,,2023,2023-12-31
,1777946,"IronNet, Inc.",,,2023,2023-01-31
,1779020,"DANIMER SCIENTIFIC, INC.",,,2023,2023-12-31
ACAT,1781726,NP     Life Sciences Health Industry Group Inc.,8200,Services-Educational Services,2023,2023-12-31
,1781870,"New Mountain Guardian III BDC, L.L.C.",,,2023,2023-12-31
,1783875,4Front Ventures Corp.,,,2023,2023-12-31
,1784567,"Harbor Custom Development, Inc.",,,2023,2023-12-31
,1784851,"SHAPEWAYS HOLDINGS, INC.",,,2023,2023-12-31
,1785345,"Landos Biopharma, Inc.",,,2023,2023-12-31
WBQNL,1785494,Woodbridge Liquidation Trust,6500,Real Estate,2023,2023-06-30
,1786182,"First High-School Education Group Co., Ltd.",,,2023,2023-12-31
,1787412,"WB Burgers Asia, Inc.",,,2023,2023-07-31
,1795938,"CREATIONS, INC.",,,2023,2023-12-31
,1796160,QMIS TBS CAPITAL GROUP CORP.,,,2023,2023-12-31
,1797768,KINNATE BIOPHARMA INC.,,,2023,2023-12-31
,1798270,ASSURE HOLDINGS CORP.,,,2023,2023-12-31
,1800682,"Cano Health, Inc.",,,2023,2023-12-31
,1803112,TDCX Inc.,,,2023,2023-12-31
,1805012,Vitru Ltd,,,2023,2023-12-31
,1805387,"CEREVEL THERAPEUTICS HOLDINGS, INC.",,,2023,2023-12-31
,1805890,Fusion Pharmaceuticals Inc.,,,2023,2023-12-31
,1807427,BLUE OWL CAPITAL CORPORATION III,,,2023,2023-12-31
MDNAF,1807983,Medicenna Therapeutics Corp.,2834,Pharmaceutical Preparations,2023,2023-03-31
,1810140,Polished.com Inc.,,,2023,2023-03-31
,1811109,"APPLIED UV, INC.",,,2023,2023-12-31
NXMH,1811530,"Next Meats Holdings, Inc.",2000,Food and Kindred Products,2023,2023-04-30
,1811623,"KUVATRIS THERAPEUTICS, INC.",,,2023,2023-12-31
,1813658,"TEMPO AUTOMATION HOLDINGS, INC.",,,2023,2023-03-31
,1813756,WEWORK INC.,,,2023,2023-04-30
,1813914,"CareMax, Inc.",,,2023,2023-12-31
,1814329,"Astra Space, Inc.",,,2023,2023-12-31
,1815436,ADVANCED HEALTH INTELLIGENCE LTD,,,2023,2023-06-30
TGCB,1815632,TEGO CYBER INC.,7370,"Services-Computer Programming, Data Processing, Etc.",2023,2023-06-30
,1816233,"SHARECARE, INC.",,,2023,2023-12-31
,1818674,SYBLEU INC.,,,2023,2023-06-30
,1819615,Clever Leaves Holdings Inc.,,,2023,2023-12-31
,1820175,OCA ACQUISITION CORP.,,,2023,2023-12-31
,1820877,APARTMENT INCOME REIT CORP.,,,2023,2023-12-31
,1821349,NEOGAMES S.A.,,,2023,2023-12-31
,1821393,"THE AARON'S COMPANY, INC.",,,2023,2023-12-31
,1822145,PRESTO AUTOMATION INC.,,,2023,2023-06-30
,1822372,STREETEX CORP.,,,2023,2023-06-30
,1822886,HHG     CAPITAL CORPORATION,,,2023,2023-12-31
GBNY,1823365,"Generations Bancorp NY, Inc.",6035,"Savings Institution, Federally Chartered",2023,2023-12-31
,1823882,Airspan Networks Holdings Inc.,,,2023,2023-12-31
,1824153,Leo Holdings Corp. II,,,2023,2023-06-30
,1825367,"RayzeBio, Inc.",,,2023,2023-06-30
PAX,1825570,Patria Investments Limited,6282,Investment Advice,2023,2023-12-31
,1825590,SL Investment Corp.,,,2023,2023-12-31
,1825962,QUADRO ACQUISITION ONE CORP.,,,2023,2023-12-31
,1828248,CHURCHILL CAPITAL CORP VII,,,2023,2023-12-31
,1828522,"eFFECTOR Therapeutics, Inc.",,,2023,2023-12-31
,1828723,"Altus Power, Inc.",,,2023,2023-12-31
,1828852,"MONDEE HOLDINGS, INC.",,,2023,2023-12-31
,1829432,ARES ACQUISITION CORPORATION,,,2023,2023-09-30
,1829966,"EBET, Inc.",,,2023,2023-09-30
,1830029,GRIID INFRASTRUCTURE INC.,,,2023,2023-12-31
,1830210,"Benson Hill, Inc.",,,2023,2023-12-31
,1830503,BUSINESS WARRIOR CORPORATION,,,2023,2023-08-31
,1831006,BLUERIVER ACQUISITION CORP.,,,2023,2023-12-31
,1831270,BITE ACQUISITION CORP.,,,2023,2023-12-31
,1831964,NORTHERN REVIVAL ACQUISITION CORPORATION,,,2023,2023-12-31
,1831978,Newbury Street Acquisition Corp,,,2023,2023-12-31
,1832136,OSIRIS ACQUISITION CORP.,,,2023,2023-12-31
,1832168,"Longboard Pharmaceuticals, Inc.",,,2023,2023-12-31
,1832433,Ferguson plc,,,2023,2023-07-31
,1832950,"KERNEL GROUP HOLDINGS, INC.",,,2023,2023-12-31
,1834045,"Vintage Wine Estates, Inc.",,,2023,2023-06-30
,1834585,JOANN Inc.,,,2023,2023-01-28
,1834645,"Peak Bio, Inc.",,,2023,2023-12-31
,1834975,VICINITY MOTOR CORP.,,,2023,2023-12-31
,1835378,Innovid Corp.,,,2023,2023-12-31
,1835416,MORINGA ACQUISITION CORP,,,2023,2023-12-31
,1835512,TERRAN ORBITAL CORPORATION,,,2023,2023-12-31
,1835539,Olink Holding AB (publ),,,2023,2023-12-31
,1835591,VIZIO HOLDING CORP.,,,2023,2023-12-31
,1835972,"ILEARNINGENGINES, INC.",,,2023,2023-12-31
,1836100,GOAL     ACQUISITIONS CORP.,,,2023,2023-12-31
,1836176,Fathom Digital Manufacturing Corporation,,,2023,2023-12-31
,1837929,NEW PROVIDENCE ACQUISITION CORP. II,,,2023,2023-12-31
,1838128,LOWELL FARMS INC.,,,2023,2023-12-31
,1838293,CATCHA INVESTMENT CORP,,,2023,2023-12-31
,1838672,"AdTheorent Holding Company, Inc.",,,2023,2023-12-31
,1838821,ARYA SCIENCES ACQUISITION CORP IV,,,2023,2023-12-31
,1839519,CF ACQUISITION CORP. VII,,,2023,2023-12-31
,1839608,"GETAROUND, INC.",,,2023,2023-12-31
,1841804,"Instructure Holdings, Inc.",,,2023,2023-12-31
,1843370,bleuacacia ltd,,,2023,2023-12-31
,1843988,two,,,2023,2023-12-31
,1844149,SPECTAIRE HOLDINGS INC.,,,2023,2023-12-31
,1844389,ACE GLOBAL BUSINESS ACQUISITION LIMITED,,,2023,2023-12-31
,1844419,MAQUIA CAPITAL ACQUISITION CORPORATION,,,2023,2023-12-31
,1844507,ACHARI VENTURES HOLDINGS CORP. I,,,2023,2023-12-31
,1844817,Armada Acquisition Corp. I,,,2023,2023-09-30
,1844981,DIGIASIA CORP.,,,2023,2023-12-31
CULL,1845799,"CULLMAN BANCORP, INC.",6036,"Savings Institutions, Not Federally Chartered",2023,2023-12-31
,1846809,OceanTech     Acquisitions I Corp.,,,2023,2023-12-31
,1846975,SDCL EDGE Acquisition Corporation,,,2023,2023-12-31
,1847112,TORTOISEECOFIN ACQUISITION CORP. III,,,2023,2023-12-31
,1847241,PROJECT ENERGY REIMAGINED ACQUISITION CORP.,,,2023,2023-12-31
,1847440,Coliseum Acquisition Corp.,,,2023,2023-12-31
,1847577,LEARN CW INVESTMENT CORP,,,2023,2023-12-31
,1847584,WalkMe Ltd.,,,2023,2023-12-31
,1848821,GLOBAL TECHNOLOGY ACQUISITION CORP. I,,,2023,2023-12-31
,1848898,AFRICAN AGRICULTURE HOLDINGS INC.,,,2023,2023-12-31
,1849058,CLOVER LEAF CAPITAL CORP.,,,2023,2023-12-31
,1849294,FORTUNE RISE ACQUISITION CORPORATION,,,2023,2023-12-31
,1849548,ONYX ACQUISITION CO. I,,,2023,2023-12-31
,1849902,SEP ACQUISITION CORP.,,,2023,2023-12-31
,1850079,Telesis Bio Inc.,,,2023,2023-12-31
,1850266,"Akili, Inc.",,,2023,2023-12-31
,1850398,"TC Bancshares, Inc.",,,2023,2023-12-31
,1850453,MYNARIC AG,,,2023,2023-12-31
,1850502,ENPHYS ACQUISITION CORP.,,,2023,2023-12-31
,1850838,"Omega Therapeutics, Inc.",,,2023,2023-12-31
,1850906,"Singular Genomics Systems, Inc.",,,2023,2023-12-31
,1851048,CYBER APP SOLUTIONS CORP.,,,2023,2023-12-31
,1851182,Future Health ESG Corp.,,,2023,2023-12-31
,1851277,Carlyle Secured Lending III,,,2023,2023-12-31
,1851657,"VAXXINITY, INC.",,,2023,2023-12-31
,1851860,"SMART FOR LIFE, INC.",,,2023,2023-12-31
,1852061,GENERATION ASIA I ACQUISITION LIMITED,,,2023,2023-12-31
,1852736,TRISTAR ACQUISITION I CORP.,,,2023,2023-12-31
,1852749,EXCELFIN ACQUISITION CORP.,,,2023,2023-12-31
,1853580,PERCEPTION CAPITAL CORP. III,,,2023,2023-12-31
RLFTY,1854078,RELIEF THERAPEUTICS HOLDING SA,2834,Pharmaceutical Preparations,2023,2023-12-31
,1854583,"Collective Audience, Inc.",,,2023,2023-12-31
CGAU,1854640,CENTERRA GOLD INC.,1040,Gold and Silver Ores,2023,2023-12-31
,1855631,AERWINS TECHNOLOGIES INC.,,,2023,2023-12-31
ARRKF,1855743,Arras Minerals Corp.,1000,Metal Mining,2023,2023-10-31
,1855756,Lilium N.V.,,,2023,2023-12-31
,1856028,"Stronghold Digital Mining, Inc.",,,2023,2023-12-31
,1856161,PEARL HOLDINGS ACQUISITION CORP,,,2023,2023-12-31
,1856430,SNAP ONE HOLDINGS CORP.,,,2023,2023-12-29
CNM,1856525,"Core & Main, Inc.",5099,"Wholesale-Durable Goods, NEC",2023,2026-02-01
,1856608,"Sovos Brands, Inc.",,,2023,2023-12-30
,1856995,MOUNTAIN & CO. I ACQUISITION CORP.,,,2023,2023-12-31
,1857410,Invest Acquisition Corporation,,,2023,2023-12-31
,1857803,DP CAP ACQUISITION CORP I,,,2023,2023-12-31
,1858028,NOVA     VISION ACQUISITION CORP.,,,2023,2023-12-31
,1859285,HireRight Holdings Corp,,,2023,2023-12-31
,1859686,SILVERBOX CORP III,,,2023,2023-12-31
,1860514,ROTH CH ACQUISITION CO.,,,2023,2023-12-31
,1860879,Rigel Resource Acquisition Corp,,,2023,2024-12-31
,1861522,Kidpik Corp.,,,2023,2023-12-30
,1861541,PEGASUS DIGITAL MOBILITY ACQUISITION CORP.,,,2023,2023-12-31
,1862068,"Rubicon Technologies, Inc.",,,2023,2023-12-31
,1862993,AP Acquisition Corp,,,2023,2023-12-31
,1864032,AULT DISRUPTIVE TECHNOLOGIES CORPORATION,,,2023,2023-12-31
,1865127,Lucy Scientific Discovery Inc.,,,2023,2023-06-30
,1865407,KENSINGTON CAPITAL ACQUISITION CORP. V,,,2023,2023-12-31
,1865482,REUNION NEUROSCIENCE INC.,,,2023,2023-03-31
,1865697,NEUROMIND AI CORP.,,,2023,2023-12-31
,1865852,"Keypath Education International, Inc.",,,2023,2023-06-30
,1866547,AETHERIUM ACQUISITION CORP.,,,2023,2023-12-31
,1866550,"THOUGHTWORKS HOLDING, INC.",,,2023,2023-12-31
,1867443,Canna-Global Acquisition Corp,,,2023,2023-12-31
,1867956,LINKTORY INC.,,,2023,2023-05-31
,1868079,PREDICTMEDIX INC.,,,2023,2023-01-31
,1868269,Chenghe Acquisition I Co.,,,2023,2023-12-31
,1868775,ASPAC I Acquisition Corp.,,,2023,2023-12-31
,1869673,Berenson Acquisition Corp. I,,,2023,2023-12-31
,1871745,DIRECT SELLING ACQUISITION CORP.,,,2023,2023-12-31
,1873331,PropertyGuru Group Limited,,,2023,2023-12-31
,1873441,BLOCKCHAIN COINVESTORS ACQUISITION CORP. I,,,2023,2023-12-31
,1873723,"Harden Technologies, Inc.",,,2023,2023-12-31
,1874074,MULTIMETAVERSE HOLDINGS LIMITED,,,2023,2023-12-31
SHGI,1874138,"Sparx Holdings Group, Inc.",3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,2023,2023-06-30
,1876945,Gold Flora Corporation,,,2023,2023-12-31
,1878074,BLUE WORLD ACQUISITION CORPORATION,,,2023,2023-06-30
,1879297,LAMF GLOBAL VENTURES CORP. I,,,2023,2023-12-31
,1879851,TMT     Acquisition Corp,,,2023,2023-12-31
,1880249,"WeCapital Holdings, Inc.",,,2023,2023-07-31
,1880441,Battery Future Acquisition Corp.,,,2023,2023-12-31
,1881462,Spree Acquisition Corp. 1 Limited,,,2023,2023-12-31
,1882078,ARISZ ACQUISITION CORP.,,,2023,2023-09-30
,1882963,AIB ACQUISITION CORPORATION,,,2023,2023-12-31
GPLL,1883083,"GPL Holdings, Inc.",6770,Blank Checks,2023,2023-07-31
,1883983,Vision Sensing Acquisition Corp.,,,2023,2023-12-31
,1884072,ADAMAS ONE CORP.,,,2023,2023-09-30
,1886799,BRIGHT GREEN CORPORATION,,,2023,2023-12-31
,1890671,DUET Acquisition Corp.,,,2023,2023-12-31
,1892025,"OPTIMUS HEALTHCARE SERVICES, INC.",,,2023,2023-12-31
,1892480,"HEMPACCO CO., INC.",,,2023,2023-12-31
,1892922,Mars Acquisition Corp.,,,2023,2023-09-30
,1893311,LUXURBAN HOTELS INC.,,,2023,2023-12-31
,1893325,SCREAMING EAGLE ACQUISITION CORP.,,,2023,2023-12-31
,1893448,"STRONG GLOBAL ENTERTAINMENT, INC.",,,2023,2023-12-31
,1894210,Qomolangma Acquisition Corp.,,,2023,2023-12-31
,1894630,"GORES HOLDINGS IX, INC.",,,2023,2023-12-31
,1894951,GLOBAL BLOCKCHAIN ACQUISITION CORP.,,,2023,2023-12-31
,1895144,GOLDEN STAR ACQUISITION CORPORATION,,,2023,2023-12-31
SGTM,1895251,"THE SUSTAINABLE GREEN TEAM, LTD.",0700,Agricultural Services,2023,2023-03-31
DAZSF,1896511,ZKGC NEW ENERGY LIMITED,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",2023,2023-05-31
,1897971,Global Lights Acquisition Corp,,,2023,2023-12-31
,1900564,WARRANTEE INC.,,,2023,2023-03-31
,1901305,"FORZA X1, INC.",,,2023,2023-12-31
,1902700,"Pioneer Green Farms, Inc.",,,2023,2023-12-31
,1902794,MGO GLOBAL INC.,,,2023,2023-12-31
ENDI,1908984,ENDI CORP.,6282,Investment Advice,2023,2023-12-31
,1910851,R1 RCM Inc. /DE,,,2023,2023-12-31
,1914023,Acri Capital Acquisition Corporation,,,2023,2023-12-31
,1922981,"DILIGENT CAPITAL HOLDINGS, INC.",,,2023,2023-03-31
,1929231,PLUTONIAN ACQUISITION CORP.,,,2023,2023-12-31
,1929589,MariaDB plc,,,2023,2023-09-30
,1932244,"AI UNLIMITED GROUP, INC.",,,2023,2023-12-31
,1934064,"PROSOMNUS, INC.",,,2023,2023-12-31
,1936702,CETUS CAPITAL ACQUISITION CORP.,,,2023,2023-12-31
,1948565,Investcorp US Institutional Private Credit Fund,,,2023,2023-06-30
,1948884,GAMER PAKISTAN INC.,,,2023,2023-12-31
,1950429,99 Acquisition Group Inc.,,,2023,2023-12-31
,1955514,RANMARINE TECHNOLOGY B.V.,,,2023,2023-12-31
,1956746,Equifax do Brasil S.A.,,,2023,2023-12-31
MACT,1957783,"MachTen, Inc.",4813,Telephone Communications (No Radiotelephone),2023,2023-03-31
,1966734,AI Transportation Acquisition Corp,,,2023,2023-12-31
,1975931,Bloom HoldCo LLC,,,2023,2023-09-30
,1990145,Holdco Nuvo Group D.G Ltd.,,,2023,2023-12-31
BCOW,1847360,"1895 Bancorp of Wisconsin, Inc.",6036,"Savings Institutions, Not Federally Chartered",2023,2023-12-31
LUCN,1726079,"LUCENT, INC.",7389,"Services-Business Services, NEC",2023,2023-12-31
,6494,ANDREA ELECTRONICS CORPORATION,,,2022,2022-12-31
,8868,"Avon Products, Inc.",,,2022,2022-12-31
,10254,EARTHSTONE ENERGY INC,,,2022,2022-12-31
CAJPY,16988,CANON INC,3861,Photographic Equipment & Supplies,2022,2022-12-31
,23111,COMPUTER TASK GROUP INC,,,2022,2022-12-31
,40888,"Aerojet Rocketdyne Holdings, Inc.",,,2022,2022-12-31
,54480,KANSAS CITY SOUTHERN,,,2022,2022-12-31
,55772,KIMBALL INTERNATIONAL INC,,,2022,2022-06-30
,57183,Spire Missouri Inc.,,,2022,2022-09-30
,57725,LANNETT CO INC,,,2022,2022-06-30
,59860,GOLDRICH MINING COMPANY,,,2022,2022-12-31
,66600,"Quad     M Solutions, Inc.",,,2022,2022-12-31
,73088,NorthWestern Corporation,,,2022,2022-12-31
,75340,"P&F INDUSTRIES, INC.",,,2022,2022-12-31
,77159,RANGER OIL CORPORATION,,,2022,2022-12-31
,77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,,,2022,2022-12-31
,77877,"PDC ENERGY, INC.",,,2022,2022-12-31
,81157,PGI INCORPORATED,,,2022,2022-12-31
,96699,Technical Communications Corporation,,,2022,2022-09-24
,315858,BLUEGREEN VACATIONS HOLDING CORPORATION,,,2022,2022-12-31
FZMD,319016,"FUSE MEDICAL, INC.",5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",2022,2022-12-31
,355379,Midwest Holding Inc.,,,2022,2022-12-31
,707511,"REGENERX BIOPHARMACEUTICALS, INC.",,,2022,2022-12-31
,710782,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",,,2022,2022-04-30
,716006,Yellow Corporation,,,2022,2022-12-31
,718877,"ACTIVISION BLIZZARD, INC.",,,2022,2022-12-31
,719739,SVB FINANCIAL GROUP,,,2022,2022-12-31
,725929,"B2Digital, Incorporated",,,2022,2022-03-31
,726516,"Direct Investment Holdings Group, Inc.",,,2022,2022-12-31
,727538,OFFSHORE PETROLEUM INVESTMENT PARTNERSHIP,,,2022,2022-12-31
,727634,iSign Solutions Inc.,,,2022,2022-12-31
,728447,"EVO Transportation & Energy Services, Inc.",,,2022,2022-12-31
,731245,PRESIDENTIAL REALTY CORPORATION,,,2022,2022-12-31
,737207,"Adhera Therapeutics, Inc.",,,2022,2022-12-31
,742112,INVACARE HOLDINGS CORPORATION,,,2022,2022-12-31
,783280,DUKE REALTY CORPORATION,,,2022,2022-06-30
,794172,"MERIDIAN BIOSCIENCE, INC.",,,2022,2022-09-30
,795212,KASPIEN HOLDINGS INC.,,,2022,2023-01-28
,798949,Unit Corporation,,,2022,2022-12-31
,806592,"Sunwin Stevia International, Inc.",,,2022,2022-04-30
,808362,Baker Hughes Holdings LLC,,,2022,2022-12-31
,810509,"NAVIDEA BIOPHARMACEUTICALS, INC.",,,2022,2022-12-31
,814549,EBIX INC,,,2022,2022-12-31
,815094,ABIOMED INC,,,2022,2022-03-31
,819913,"Hallmark Financial Services, Inc",,,2022,2022-12-31
,822746,AMERICAN NOBLE GAS INC,,,2022,2022-12-31
,825322,"mPHASE TECHNOLOGIES, INC.",,,2022,2022-03-31
,827871,"Eagle Pharmaceuticals, Inc.",,,2022,2022-12-31
,831547,SPECTRUM PHARMACEUTICALS INC,,,2022,2022-12-31
,832090,Partners Bancorp,,,2022,2022-12-31
,836937,UPD HOLDING CORP.,,,2022,2022-06-30
,842183,RPT Realty,,,2022,2022-12-31
,846546,BONSO ELECTRONICS INTERNATIONAL INC.,,,2022,2022-03-31
,849636,RESPIRERX PHARMACEUTICALS INC.,,,2022,2022-12-31
,850261,"SORRENTO THERAPEUTICS, INC.",,,2022,2022-12-31
,851726,SANTA FE GOLD CORPORATION,,,2022,2022-06-30
,854800,"Tingo Group, Inc.",,,2022,2022-12-31
,855654,"ImmunoGen, Inc.",,,2022,2022-12-31
,855874,THE COMMUNITY FINANCIAL CORPORATION,,,2022,2022-12-31
,861838,"Aceragen, Inc.",,,2022,2022-12-31
,866028,POLYMET MINING CORP.,,,2022,2022-12-31
,866368,"PS BUSINESS PARKS, INC./MD",,,2022,2022-12-31
,867665,ABRAXAS PETROLEUM CORP,,,2022,2022-12-31
,867773,SUNPOWER CORP,,,2022,2023-01-01
,874292,"ADDvantage Technologies Group, Inc.",,,2022,2022-12-31
,874710,"ALLIED HEALTHCARE PRODUCTS, INC.",,,2022,2022-06-30
,878726,TUESDAY MORNING CORP/DE,,,2022,2022-07-02
,878828,"Wireless Telecom Group, Inc.",,,2022,2022-12-31
,882800,"PACIFIC VENTURES GROUP, INC.",,,2022,2022-12-31
,884247,LIQUID MEDIA GROUP LTD.,,,2022,2022-08-31
,884363,"Evolutionary Genomics, Inc.",,,2022,2022-12-31
,886158,"20230930-DK-BUTTERFLY-1, INC.",,,2022,2023-02-25
,887247,DMK PHARMACEUTICALS CORPORATION,,,2022,2022-12-31
,887921,"Revlon, Inc.",,,2022,2022-12-31
,889123,REDWOOD MORTGAGE INVESTORS VIII,,,2022,2022-12-31
,891293,CTI BIOPHARMA CORP,,,2022,2022-12-31
,892832,SANDSTON CORP,,,2022,2022-12-31
,895665,"Clearday, Inc.",,,2022,2022-12-31
,896494,Senstar Technologies Ltd.,,,2022,2022-12-31
,896747,AMERICAN BIO MEDICA CORPORATION,,,2022,2022-12-31
,896841,"AVID TECHNOLOGY, INC.",,,2022,2022-12-31
,897429,"Chico’s FAS, Inc.",,,2022,2023-01-28
SPTJF,908732,Sinopec Shanghai Petrochemical Company Limited,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",2022,2022-12-31
,910467,CAMPBELL STRATEGIC ALLOCATION FUND LP,,,2022,2022-12-31
,912752,"SINCLAIR BROADCAST GROUP, LLC",,,2022,2022-12-31
,914025,"PLANTRONICS, INC.",,,2022,2022-04-02
,919175,"SUGARMADE, INC.",,,2022,2022-06-30
,922521,"FALCONSTOR SOFTWARE, INC.",,,2022,2022-12-31
,922612,"SCHMITT INDUSTRIES, INC.",,,2022,2022-05-31
,923571,US XPRESS ENTERPRISES INC,,,2022,2022-12-31
,925661,"SECTOR 10, Inc.",,,2022,2023-03-31
,932872,Shaw Communications Inc.,,,2022,2022-08-31
,934543,AMERICAN CHURCH MORTGAGE COMPANY,,,2022,2022-06-30
,935494,NATIONAL INSTRUMENTS CORPORATION,,,2022,2022-12-31
,944314,"LIFE STORAGE, INC.",,,2022,2022-12-31
,945764,DENBURY INC.,,,2022,2022-12-31
,945828,AMERITYRE CORPORATION,,,2022,2022-06-30
,946454,FG GROUP HOLDINGS INC.,,,2022,2022-12-31
,1000229,CORE LABORATORIES N.V.,,,2022,2022-12-31
,1000298,"Impac Mortgage Holdings, Inc.",,,2022,2022-12-31
,1000683,"BLONDER TONGUE LABORATORIES, INC.",,,2022,2022-12-31
,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,,,2022,2022-09-30
,1007273,Bank of South Carolina Corporation,,,2022,2022-12-31
,1008654,TUPPERWARE BRANDS CORPORATION,,,2022,2022-12-31
,1011662,"GLOBAL DIGITAL SOLUTIONS, INC.",,,2022,2022-12-31
,1014111,"GLASSBRIDGE ENTERPRISES, INC.",,,2022,2022-12-31
,1021096,"Troika Media Group, Inc.",,,2022,2022-12-31
,1021435,HOPTO     INC.,,,2022,2022-12-31
,1025561,SHARPLINK GAMING LTD.,,,2022,2022-12-31
,1029800,URSTADT BIDDLE PROPERTIES INC,,,2022,2022-10-31
,1031029,"STARTEK, INC.",,,2022,2022-12-31
,1037390,"INDUS REALTY TRUST, INC.",,,2022,2022-12-31
,1038133,HESKA CORPORATION,,,2022,2022-12-31
CHKIF,1041668,CHINA SOUTHERN AIRLINES COMPANY LIMITED,4512,"Air Transportation, Scheduled",2022,2022-12-31
,1044378,"BIOCEPT, INC.",,,2022,2022-12-31
,1046995,eMagin Corporation,,,2022,2022-12-31
SALM,1050606,"SALEM MEDIA GROUP, INC.",4832,Radio Broadcasting Stations,2022,2022-12-31
MADL,1052354,MAN AHL DIVERSIFIED I LP,6221,Commodity Contracts Brokers & Dealers,2022,2022-12-31
,1054721,BSQUARE CORP/WA,,,2022,2022-12-31
,1057083,PC TEL INC,,,2022,2022-12-31
,1060219,"SALISBURY BANCORP, INC.",,,2022,2022-12-31
,1060736,Seagen Inc.,,,2022,2022-12-31
,1062128,"MANUKA, INC.",,,2022,2022-12-31
,1063344,HERSHA HOSPITALITY TRUST,,,2022,2022-12-31
,1065201,"AmerInst Insurance Group, Ltd.",,,2022,2022-12-31
,1066719,"TAIHE GROUP, INC.",,,2022,2022-12-31
,1067428,AngloGold Ashanti Limited,,,2022,2022-12-31
,1067873,"AS-IP TECH, INC.",,,2022,2022-06-30
,1068875,"AVANTAX, INC.",,,2022,2022-12-31
,1069308,ACER THERAPEUTICS INC.,,,2022,2022-12-31
,1071058,ABSOLUTE SOFTWARE CORPORATION,,,2022,2022-06-30
,1076682,"POLARITYTE, INC.",,,2022,2022-12-31
,1077771,UMPQUA HOLDINGS CORP,,,2022,2022-12-31
CRDV,1084551,COMMUNITY REDEVELOPMENT INC.,6552,Land Subdividers & Developers (No Cemeteries),2022,2022-12-31
UBOH,1087456,UNITED BANCSHARES INC/OH,6021,National Commercial Banks,2022,2022-12-31
,1091883,"CIRCOR INTERNATIONAL, INC.",,,2022,2022-12-31
,1091907,"World Wrestling Entertainment, LLC",,,2022,2022-12-31
,1092662,"CHEMBIO DIAGNOSTICS, INC.",,,2022,2022-12-31
,1094084,"TELKONET, INC.",,,2022,2022-12-31
