ticker,cik,company_name,sic,sic_description,latest_fiscal_year,period_end
,1035976,"FNCB Bancorp, Inc.",,,2023,2023-12-31
,1037676,"Arch Resources, Inc.",,,2023,2023-12-31
FNCTF,1038143,ORANGE,4813,Telephone Communications (No Radiotelephone),2023,2023-12-31
,1038357,PIONEER NATURAL RESOURCES CO,,,2023,2023-12-31
,1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,,,2023,2023-12-31
,1042074,"CymaBay Therapeutics, Inc.",,,2023,2023-12-31
,1043894,WOLF ENERGY SERVICES INC.,,,2023,2023-03-31
,1049011,Kid   Castle Educational Corporation,,,2023,2023-12-31
,1053584,MACATAWA BANK CORPORATION,,,2023,2023-12-31
,1059262,SP Plus Corp,,,2023,2023-12-31
,1061027,"Viracta Therapeutics, Inc.",,,2023,2023-12-31
,1061164,"PEREGRINE INDUSTRIES, INC.",,,2023,2023-07-31
,1063537,RICEBRAN TECHNOLOGIES,,,2023,2023-12-31
,1067837,"AUDACY, INC.",,,2023,2023-12-31
TKC,1071321,TURKCELL ILETISIM HIZMETLERI A S,4813,Telephone Communications (No Radiotelephone),2023,2023-12-31
GDRZF,1072725,GOLD RESERVE LTD.,1040,Gold and Silver Ores,2023,2023-12-31
,1072842,"First Capital International, Inc.",,,2023,2023-12-31
,1073748,"YUMMIES, INC.",,,2023,2023-09-30
CIZN,1075706,CITIZENS HOLDING COMPANY,6022,State Commercial Banks,2023,2023-12-31
,1080319,"Elys BMG Group, Inc.",,,2023,2023-06-30
,1083922,"AuraSource, Inc.",,,2023,2023-03-31
,1084133,REAL BRANDS INC.,,,2023,2023-12-31
,1085869,PERFICIENT INC,,,2023,2023-12-31
,1088638,"MASTERMIND, INC.",,,2023,2023-09-30
,1089297,NOVAGANT CORP.,,,2023,2023-03-31
ABBNY,1091587,ABB Ltd,3613,Switchgear & Switchboard Apparatus,2023,2023-12-31
FULO,1092570,FULLNET COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone),2023,2023-12-31
,1093636,"Saxon Capital Group, Inc./DE",,,2023,2023-12-31
,1098880,IntelGenx Technologies Corp.,,,2023,2023-12-31
,1099132,"MANHATTAN SCIENTIFICS, INC.",,,2023,2023-12-31
,1100397,"AYALA PHARMACEUTICALS, INC.",,,2023,2023-12-31
,1101396,"DELTA APPAREL, INC.",,,2023,2023-09-30
,1101680,DZS INC.,,,2023,2023-12-31
RSCF,1103090,"REFLECT SCIENTIFIC, INC.",3821,Laboratory Apparatus & Furniture,2023,2023-12-31
,1108645,CORRELATE ENERGY CORP.,,,2023,2023-12-31
,1109486,Endexx Corporation,,,2023,2023-03-31
,1110805,NuStar Energy L.P.,,,2023,2023-12-31
MMMW,1117228,Mass Megawatts Wind Power Inc.,4991,Cogeneration Services & Small Power Producers,2023,2023-04-30
,1118072,SKINOVATION PHARMACEUTICAL INCORPORATED,,,2023,2023-12-31
,1118417,"MODEL N, INC.",,,2023,2023-09-30
,1121702,"YIELD10 BIOSCIENCE, INC.",,,2023,2023-12-31
,1124610,VMWARE LLC,,,2023,2023-02-03
,1126234,"LUMOS PHARMA, INC.",,,2023,2023-12-31
,1126874,ENERPLUS CORPORATION,,,2023,2023-12-31
,1130889,CANCER CAPITAL CORP.,,,2023,2023-12-31
,1136294,"NOS4-1, INC.",,,2023,2023-06-30
MRPT,1143994,"THE MACREPORT.NET, INC.",7389,"Services-Business Services, NEC",2023,2023-11-30
,1156174,"LAKE AREA CORN PROCESSORS, LLC",,,2023,2023-12-31
,1158420,Green Giant Inc.,,,2023,2023-09-30
,1160945,"NOVA STAR INNOVATIONS, INC.",,,2023,2023-12-31
,1161582,"GrowLife, Inc.",,,2023,2023-03-31
,1162461,"Cutera, Inc.",,,2023,2023-12-31
,1164256,"DAYBREAK OIL AND GAS, INC.",,,2023,2023-02-28
,1168081,Desert Hawk Gold Corp.,,,2023,2023-12-31
,1172222,HAWAIIAN HOLDINGS INC,,,2023,2023-12-31
,1182731,CONNEXIONONE CORP.,,,2023,2023-12-31
,1183765,"Molecular Templates, Inc.",,,2023,2023-12-31
,1213660,BIMI Holdings Inc.,,,2023,2023-03-15
,1253176,"Vapotherm, Inc.",,,2023,2023-12-31
,1260990,"Oncternal Therapeutics, Inc.",,,2023,2023-12-31
,1261249,"Agile Therapeutics, Inc.",,,2023,2023-12-31
,1267425,BF Garden Tax Credit Fund V L.P.,,,2023,2023-03-31
,1267426,BCTC V ASSIGNOR CORP.,,,2023,2023-12-31
,1267602,"ALIMERA SCIENCES, INC.",,,2023,2023-12-31
,1267813,"MARINUS PHARMACEUTICALS, INC.",,,2023,2023-12-31
,1274792,MERRIMACK PHARMACEUTICALS INC,,,2023,2023-12-31
,1277250,"Charge Enterprises, Inc.",,,2023,2022-12-31
,1288750,Timberline Resources Corporation,,,2023,2023-09-30
,1289636,"PROFIRE ENERGY, INC.",,,2023,2023-12-31
,1291733,GOL Intelligent Airlines Inc.,,,2023,2023-12-31
,1293282,TechTarget Holdings Inc.,,,2023,2023-12-31
,1302028,"MANITEX INTERNATIONAL, INC.",,,2023,2023-12-31
,1304421,"Consolidated Communications Holdings, Inc.",,,2023,2023-12-31
,1305168,"ARC DOCUMENT SOLUTIONS, INC.",,,2023,2023-12-31
,1305253,"EIGER BIOPHARMACEUTICALS, INC.",,,2023,2023-12-31
,1309057,"CHINA HEALTH INDUSTRIES HOLDINGS, INC.",,,2023,2023-06-30
,1310527,"TELIX QSAM, INC.",,,2023,2023-12-31
,1313275,BRIGHTCOVE INC,,,2023,2023-12-31
,1321828,"DATA CALL TECHNOLOGIES, INC.",,,2023,2023-12-31
,1322439,Eagle Bulk Shipping Inc.,,,2023,2023-12-31
,1326003,BLACKROCK CAPITAL INVESTMENT CORPORATION,,,2023,2023-12-31
,1326141,Lazard Group LLC,,,2023,2023-12-31
NMPGY,1333172,NAVIOS MARITIME HOLDINGS INC.,4412,Deep Sea Foreign Transportation of  Freight,2023,2023-03-31
,1335112,"LOGIQ, INC.",,,2023,2023-12-31
,1337619,"Envestnet, Inc.",,,2023,2023-12-31
,1340122,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",,,2023,2023-12-31
,1340243,MorphoSys AG,,,2023,2023-12-31
,1342219,"NAMLIONG SKYCOSMOS, INC.",,,2023,2023-12-31
,1346655,"CMG HOLDINGS GROUP, INC.",,,2023,2023-12-31
,1347652,"CORENERGY INFRASTRUCTURE TRUST, INC.",,,2023,2023-12-31
,1352081,"CARDINAL ETHANOL, LLC",,,2023,2023-09-30
,1353283,Splunk Inc.,,,2023,2023-01-31
,1354327,"PGT INNOVATIONS, INC.",,,2023,2023-12-30
,1355250,INNOVATION PHARMACEUTICALS INC.,,,2023,2023-06-30
,1355677,Mexus Gold us,,,2023,2023-03-31
,1357450,HOLLYSYS AUTOMATION TECHNOLOGIES LTD.,,,2023,2023-06-30
,1362703,"THERALINK TECHNOLOGIES, INC.",,,2023,2023-09-30
,1364742,"BLACKROCK FINANCE, INC.",,,2023,2023-12-31
,1368365,"Remark Holdings, Inc.",,,2023,2023-12-31
,1375195,THE     CORETEC GROUP INC.,,,2023,2023-12-31
RDCT,1376804,"VNUE, Inc.",7822,Services-Motion Picture & Video Tape Distribution,2023,2023-12-31
,1381871,"bowmo, Inc.",,,2023,2023-12-31
,1389002,Marin Software Incorporated,,,2023,2023-12-31
,1389518,"Clubhouse Media Group, Inc.",,,2023,2023-12-31
,1392545,"Lightning Gaming, Inc.",,,2023,2023-12-31
,1394319,"TRACON Pharmaceuticals, Inc.",,,2023,2023-12-31
,1396033,"LL Flooring Holdings, Inc.",,,2023,2023-12-31
,1397047,"FLEXSHOPPER, INC.",,,2023,2023-12-31
,1397702,"SILK ROAD MEDICAL, INC.",,,2023,2023-12-31
,1399306,BREWBILT BREWING COMPANY,,,2023,2023-12-31
,1401395,NEPTUNE WELLNESS SOLUTIONS INC.,,,2023,2023-03-31
,1401564,"FIRST FINANCIAL NORTHWEST, INC.",,,2023,2023-12-31
,1402945,Progressive Care Inc.,,,2023,2023-12-31
,1407623,RETAIL OPPORTUNITY INVESTMENTS CORP,,,2023,2023-12-31
,1407878,"DIGITAL     LOCATIONS, INC.",,,2023,2023-12-31
SCYYF,1408146,SCANDIUM INTERNATIONAL MINING CORP.,1000,Metal Mining,2023,2022-12-31
,1409446,NATE’S FOOD CO.,,,2023,2023-05-31
,1410187,CANNONAU CORP,,,2023,2023-12-31
,1411688,"THE CONTAINER STORE GROUP, INC.",,,2023,2024-03-30
,1411906,"AMPIO PHARMACEUTICALS, INC.",,,2023,2023-12-31
,1413159,Textainer Group Holdings Limited,,,2023,2023-09-30
,1413754,"MARIZYME, INC.",,,2023,2023-12-31
,1417664,"Value Exchange International, Inc.",,,2023,2023-12-31
,1419051,"THERAPEUTIC     SOLUTIONS INTERNATIONAL, INC.",,,2023,2023-12-31
DLTI,1420368,"DLT RESOLUTION, INC",7200,Services-Personal Services,2023,2023-12-31
,1421636,"C-Bond Systems, Inc.",,,2023,2023-12-31
,1424404,WOLVERINE RESOURCES CORP.,,,2023,2023-05-31
,1426332,NGM BIOPHARMACEUTICALS INC,,,2023,2023-12-31
,1429560,"TREVENA, INC.",,,2023,2023-12-31
GWSO,1430300,"GLOBAL WARMING SOLUTIONS, INC.",5960,Retail-Nonstore Retailers,2023,2023-12-31
,1430319,"C & C TOURS, INC",,,2023,2023-12-31
,1431074,"BERGIO INTERNATIONAL, INC.",,,2023,2023-12-31
,1431959,Meta Materials Inc.,,,2023,2023-12-31
,1435812,Arem Pacific Corporation,,,2023,2023-06-30
,1437352,"Everbridge, Inc.",,,2023,2023-12-31
,1438901,"AUTO PARTS 4LESS GROUP, INC.",,,2023,2023-01-31
,1441082,THE HEALING COMPANY INC.,,,2023,2023-06-30
